,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
81,1943,No Record,,,No Record,,
82,1942,No Record,,,No Record,,
83,1941,No Record,,,No Record,,
84,1940,No Record,,,No Record,,
85,1939,No Record,,,No Record,,
86,1938,No Record,,,No Record,,
87,1937,No Record,,,No Record,,
88,1936,No Record,,,No Record,,
89,1935,No Record,,,No Record,,
90,1934,No Record,,,No Record,,
91,1933,No Record,,,No Record,,
92,1932,No Record,,,No Record,,
93,1931,No Record,,,No Record,,
94,1930,No Record,,,No Record,,
95,1929,No Record,,,No Record,,
96,1928,No Record,,,No Record,,
97,1927,No Record,,,No Record,,
98,1926,No Record,,,No Record,,
99,1925,No Record,,,No Record,,
100,1924,No Record,,,No Record,,
101,1923,No Record,,,No Record,,
102,1922,No Record,,,No Record,,
103,1921,No Record,,,No Record,,
104,1920,No Record,,,No Record,,
105,1919,No Record,,,No Record,,
106,1918,No Record,,,No Record,,
107,1917,No Record,,,No Record,,
108,1916,No Record,,,No Record,,
109,1915,No Record,,,No Record,,
110,1914,No Record,,,No Record,,
111,1913,No Record,,,No Record,,
112,1912,No Record,,,No Record,,
113,1911,No Record,,,No Record,,
114,1910,No Record,,,No Record,,
115,1909,No Record,,,No Record,,
116,1908,No Record,,,No Record,,
117,1907,No Record,,,No Record,,
118,1906,No Record,,,No Record,,
119,1905,No Record,,,No Record,,
120,1904,No Record,,,No Record,,
121,1903,No Record,,,No Record,,
122,1902,No Record,,,No Record,,
123,1901,—,,,No Record,,
