YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
1972,John Bardeen,Leon Cooper,John Robert Schrieffer,/wiki/John_Bardeen,/wiki/Leon_Cooper,/wiki/John_Robert_Schrieffer
1971,Dennis Gabor,No Record,No Record,/wiki/Dennis_Gabor,No Record,No Record
1970,Hannes Alfvén,Louis Néel,No Record,/wiki/Hannes_Alfv%C3%A9n,/wiki/Louis_N%C3%A9el,No Record
1969,Murray Gell-Mann,No Record,No Record,/wiki/Murray_Gell-Mann,No Record,No Record
1968,Luis Walter Alvarez,No Record,No Record,/wiki/Luis_Walter_Alvarez,No Record,No Record
1967,Hans Bethe,No Record,No Record,/wiki/Hans_Bethe,No Record,No Record
1966,Alfred Kastler,No Record,No Record,/wiki/Alfred_Kastler,No Record,No Record
1965,Shin'ichirō Tomonaga,Julian Schwinger,Richard Feynman,/wiki/Shin%27ichir%C5%8D_Tomonaga,/wiki/Julian_Schwinger,/wiki/Richard_Feynman
1964,Charles H. Townes,Nikolay Basov,Alexander Prokhorov,/wiki/Charles_H._Townes,/wiki/Nikolay_Basov,/wiki/Alexander_Prokhorov
1963,Eugene Wigner,Maria Goeppert Mayer,J. Hans D. Jensen,/wiki/Eugene_Wigner,/wiki/Maria_Goeppert_Mayer,/wiki/J._Hans_D._Jensen
1962,Lev Landau,No Record,No Record,/wiki/Lev_Landau,No Record,No Record
1961,Robert Hofstadter,Rudolf Mössbauer,No Record,/wiki/Robert_Hofstadter,/wiki/Rudolf_M%C3%B6ssbauer,No Record
1960,Donald A. Glaser,No Record,No Record,/wiki/Donald_A._Glaser,No Record,No Record
1959,Emilio Segrè,Owen Chamberlain,No Record,/wiki/Emilio_Segr%C3%A8,/wiki/Owen_Chamberlain,No Record
1958,Pavel Cherenkov,Ilya Frank,Igor Tamm,/wiki/Pavel_Cherenkov,/wiki/Ilya_Frank,/wiki/Igor_Tamm
1957,Yang Chen-Ning,Tsung-Dao Lee,No Record,/wiki/Yang_Chen-Ning,/wiki/Tsung-Dao_Lee,No Record
1956,John Bardeen,Walter Houser Brattain,William Shockley,/wiki/John_Bardeen,/wiki/Walter_Houser_Brattain,/wiki/William_Shockley
1955,Willis Lamb,Polykarp Kusch,No Record,/wiki/Willis_Lamb,/wiki/Polykarp_Kusch,No Record
1954,Max Born,Walther Bothe,No Record,/wiki/Max_Born,/wiki/Walther_Bothe,No Record
1953,Frits Zernike,No Record,No Record,/wiki/Frits_Zernike,No Record,No Record
1952,Felix Bloch,Edward Mills Purcell,No Record,/wiki/Felix_Bloch,/wiki/Edward_Mills_Purcell,No Record
1951,John Cockcroft,Ernest Walton,No Record,/wiki/John_Cockcroft,/wiki/Ernest_Walton,No Record
1950,C. F. Powell,No Record,No Record,/wiki/C._F._Powell,No Record,No Record
1949,Hideki Yukawa,No Record,No Record,/wiki/Hideki_Yukawa,No Record,No Record
1948,Patrick Blackett,No Record,No Record,/wiki/Patrick_Blackett,No Record,No Record
1947,Edward Victor Appleton,No Record,No Record,/wiki/Edward_Victor_Appleton,No Record,No Record
1946,Percy Williams Bridgman,No Record,No Record,/wiki/Percy_Williams_Bridgman,No Record,No Record
1945,Wolfgang Pauli,No Record,No Record,/wiki/Wolfgang_Pauli,No Record,No Record
1944,Isidor Isaac Rabi,No Record,No Record,/wiki/Isidor_Isaac_Rabi,No Record,No Record
1943,Otto Stern,No Record,No Record,/wiki/Otto_Stern,No Record,No Record
1942,No Record,No Record,No Record,No Record,No Record,No Record
1941,No Record,No Record,No Record,No Record,No Record,No Record
1940,Cancelled due to World War II,No Record,No Record,No Record,No Record,No Record
1939,Ernest Lawrence,No Record,No Record,/wiki/Ernest_Lawrence,No Record,No Record
1938,Enrico Fermi,No Record,No Record,/wiki/Enrico_Fermi,No Record,No Record
1937,Clinton Davisson,George Paget Thomson,No Record,/wiki/Clinton_Davisson,/wiki/George_Paget_Thomson,No Record
1936,Victor Francis Hess,Carl David Anderson,No Record,/wiki/Victor_Francis_Hess,/wiki/Carl_David_Anderson,No Record
1935,James Chadwick,No Record,No Record,/wiki/James_Chadwick,No Record,No Record
