,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
56,1968,René Cassin,,,/wiki/Ren%C3%A9_Cassin,,
57,1967,,,,No Record,,
58,1966,,,,No Record,,
59,1965,United Nations International Children's Emergency Fund,,,/wiki/UNICEF,,
60,1964,Martin Luther King Jr.,,,/wiki/Martin_Luther_King_Jr.,,
61,1963,International Committee of the Red Cross,League of Red Cross societies,,/wiki/International_Committee_of_the_Red_Cross,/wiki/International_Federation_of_Red_Cross_and_Red_Crescent_Societies,
62,1962,Linus Pauling,,,/wiki/Linus_Pauling,,
63,1961,Dag Hammarskjöld,,,/wiki/Dag_Hammarskj%C3%B6ld,,
64,1960,Albert Lutuli,,,/wiki/Albert_Lutuli,,
65,1959,Philip Noel-Baker,,,/wiki/Philip_Noel-Baker,,
66,1958,Dominique Pire,,,/wiki/Dominique_Pire,,
67,1957,Lester B. Pearson,,,/wiki/Lester_B._Pearson,,
68,1956,,,,No Record,,
69,1955,,,,No Record,,
70,1954,United Nations High Commissioner for Refugees,,,/wiki/United_Nations_High_Commissioner_for_Refugees,,
71,1953,George Marshall,,,/wiki/George_Marshall,,
72,1952,Albert Schweitzer,,,/wiki/Albert_Schweitzer,,
73,1951,Léon Jouhaux,,,/wiki/L%C3%A9on_Jouhaux,,
74,1950,Ralph Bunche,,,/wiki/Ralph_Bunche,,
75,1949,John Boyd Orr,,,/wiki/John_Boyd_Orr,,
76,1948,None[c],,,#cite_note-B-17,,
77,1947,Friends Service Council,American Friends Service Committee,,/wiki/Quaker_Peace_and_Social_Witness,/wiki/American_Friends_Service_Committee,
78,1946,Emily Greene Balch,John Mott,,/wiki/Emily_Greene_Balch,/wiki/John_Mott,
79,1945,Cordell Hull,,,/wiki/Cordell_Hull,,
80,1944,International Committee of the Red Cross,,,/wiki/International_Committee_of_the_Red_Cross,,
81,1943,No Record,,,No Record,,
82,1942,No Record,,,No Record,,
83,1941,No Record,,,No Record,,
84,1940,No Record,,,No Record,,
85,1939,,,,No Record,,
86,1938,Nansen International Office for Refugees,,,/wiki/Nansen_International_Office_for_Refugees,,
87,1937,"Robert Cecil, 1st Viscount Cecil of Chelwood",,,"/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood",,
88,1936,Carlos Saavedra Lamas,,,/wiki/Carlos_Saavedra_Lamas,,
89,1935,/wiki/Carl_von_Ossietzky,,,No Record,,
90,1934,/wiki/Arthur_Henderson,,,No Record,,
91,1933,/wiki/Norman_Angell,,,No Record,,
92,1932,,,,No Record,,
93,1931,/wiki/Jane_Addams,/wiki/Nicholas_Murray_Butler,,No Record,,
94,1930,Nathan Söderblom,,,/wiki/Nathan_S%C3%B6derblom,,
95,1929,Frank B. Kellogg,,,/wiki/Frank_B._Kellogg,,
96,1928,,,,No Record,,
97,1927,Ferdinand Buisson,Ludwig Quidde,,/wiki/Ferdinand_Buisson,/wiki/Ludwig_Quidde,
98,1926,Aristide Briand,Gustav Stresemann,,/wiki/Aristide_Briand,/wiki/Gustav_Stresemann,
99,1925,/wiki/Austen_Chamberlain,/wiki/Charles_G._Dawes,,No Record,,
100,1924,No Record,,,No Record,,
101,1923,,,,No Record,,
102,1922,Fridtjof Nansen,,,/wiki/Fridtjof_Nansen,,
103,1921,/wiki/Hjalmar_Branting,/wiki/Christian_Lous_Lange,,No Record,,
104,1920,Léon Bourgeois,,,/wiki/L%C3%A9on_Bourgeois,,
105,1919,/wiki/Woodrow_Wilson,,,No Record,,
106,1918,No Record,,,No Record,,
107,1917,No Record,,,No Record,,
108,1916,No Record,,,No Record,,
109,1915,No Record,,,No Record,,
110,1914,No Record,,,No Record,,
