,YEAR,AUTHOR_1,AUTHOR_2,AUTHOR_3,URL_1,URL_2,URL_3
59,1965,François Jacob,André Michel Lwoff,Jacques Monod,/wiki/Fran%C3%A7ois_Jacob,/wiki/Andr%C3%A9_Michel_Lwoff,/wiki/Jacques_Monod
60,1964,Konrad Emil Bloch,Feodor Lynen,,/wiki/Konrad_Emil_Bloch,/wiki/Feodor_Lynen,
61,1963,John Eccles,Alan Hodgkin,Andrew Huxley,/wiki/John_Eccles_(neurophysiologist),/wiki/Alan_Hodgkin,/wiki/Andrew_Huxley
62,1962,Francis Crick,James Watson,Maurice Wilkins,/wiki/Francis_Crick,/wiki/James_Watson,/wiki/Maurice_Wilkins
63,1961,Georg von Békésy,,,/wiki/Georg_von_B%C3%A9k%C3%A9sy,,
64,1960,Macfarlane Burnet,Peter Medawar,,/wiki/Macfarlane_Burnet,/wiki/Peter_Medawar,
65,1959,Arthur Kornberg,Severo Ochoa,,/wiki/Arthur_Kornberg,/wiki/Severo_Ochoa,
66,1958,George Beadle,Edward Tatum,Joshua Lederberg,/wiki/George_Beadle,/wiki/Edward_Tatum,/wiki/Joshua_Lederberg
67,1957,Daniel Bovet,,,/wiki/Daniel_Bovet,,
68,1956,André Frédéric Cournand,Werner Forssmann,Dickinson W. Richards,/wiki/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand,/wiki/Werner_Forssmann,/wiki/Dickinson_W._Richards
69,1955,Hugo Theorell,,,/wiki/Hugo_Theorell,,
70,1954,John Franklin Enders,Frederick Chapman Robbins,Thomas Huckle Weller,/wiki/John_Franklin_Enders,/wiki/Frederick_Chapman_Robbins,/wiki/Thomas_Huckle_Weller
71,1953,Hans Adolf Krebs,Fritz Albert Lipmann,,/wiki/Hans_Adolf_Krebs,/wiki/Fritz_Albert_Lipmann,
72,1952,Selman Waksman,,,/wiki/Selman_Waksman,,
73,1951,Max Theiler,,,/wiki/Max_Theiler,,
74,1950,Philip Showalter Hench,Edward Calvin Kendall,Tadeus Reichstein,/wiki/Philip_Showalter_Hench,/wiki/Edward_Calvin_Kendall,/wiki/Tadeus_Reichstein
75,1949,Walter Rudolf Hess,António Egas Moniz,,/wiki/Walter_Rudolf_Hess,/wiki/Ant%C3%B3nio_Egas_Moniz,
76,1948,Paul Hermann Müller,,,/wiki/Paul_Hermann_M%C3%BCller,,
77,1947,Carl Ferdinand Cori,Gerty Cori,Bernardo Houssay,/wiki/Carl_Ferdinand_Cori,/wiki/Gerty_Cori,/wiki/Bernardo_Houssay
78,1946,Hermann Joseph Muller,,,/wiki/Hermann_Joseph_Muller,,
79,1945,Alexander Fleming,Ernst Chain,Howard Florey,/wiki/Alexander_Fleming,/wiki/Ernst_Chain,/wiki/Howard_Florey
80,1944,Joseph Erlanger,Herbert Spencer Gasser,,/wiki/Joseph_Erlanger,/wiki/Herbert_Spencer_Gasser,
81,1943,Henrik Dam,Edward Adelbert Doisy,,/wiki/Henrik_Dam,/wiki/Edward_Adelbert_Doisy,
82,1942,No Record,,,No Record,,
83,1941,No Record,,,No Record,,
84,1940,No Record,,,No Record,,
85,1939,Gerhard Domagk,,,/wiki/Gerhard_Domagk,#cite_note-A-15,
86,1938,Corneille Heymans,,,/wiki/Corneille_Heymans,,
87,1937,Albert Szent-Györgyi,,,/wiki/Albert_Szent-Gy%C3%B6rgyi,,
88,1936,Henry Hallett Dale,Otto Loewi,,/wiki/Henry_Hallett_Dale,/wiki/Otto_Loewi,
89,1935,Hans Spemann,,,/wiki/Hans_Spemann,,
90,1934,/wiki/George_Whipple,/wiki/George_Minot,/wiki/William_P._Murphy,Luigi Pirandello,,
91,1933,/wiki/Thomas_Hunt_Morgan,,,Ivan Bunin,,
92,1932,Charles Scott Sherrington,Edgar Adrian,,/wiki/Charles_Scott_Sherrington,/wiki/Edgar_Adrian,
93,1931,/wiki/Otto_Heinrich_Warburg,,,Erik Axel Karlfeldt,,
94,1930,Karl Landsteiner,,,/wiki/Karl_Landsteiner,,
95,1929,Christiaan Eijkman,Frederick Gowland Hopkins,,/wiki/Christiaan_Eijkman,/wiki/Frederick_Gowland_Hopkins,
96,1928,Charles Nicolle,,,/wiki/Charles_Nicolle,,
97,1927,Julius Wagner-Jauregg,,,/wiki/Julius_Wagner-Jauregg,,
98,1926,Johannes Fibiger,,,/wiki/Johannes_Fibiger,,
99,1925,,,,George Bernard Shaw,,
100,1924,/wiki/Willem_Einthoven,,,Władysław Reymont,,
101,1923,Frederick Banting,John Macleod,,/wiki/Frederick_Banting,/wiki/John_Macleod_(physiologist),
102,1922,Archibald Hill,Otto Fritz Meyerhof,,/wiki/Archibald_Hill,/wiki/Otto_Fritz_Meyerhof,
103,1921,,,,Anatole France,,
104,1920,August Krogh,,,/wiki/August_Krogh,,
105,1919,/wiki/Jules_Bordet,,,Carl Spitteler,,
106,1918,,,,,,
107,1917,Karl Adolph Gjellerup,Henrik Pontoppidan,,/wiki/Karl_Adolph_Gjellerup,/wiki/Henrik_Pontoppidan,
108,1916,/wiki/Verner_von_Heidenstam,,,,,
109,1915,,,,Romain Rolland,,
110,1914,Robert Bárány,,,/wiki/Robert_B%C3%A1r%C3%A1ny,,
111,1913,Charles Richet,,,/wiki/Charles_Richet,,
112,1912,Alexis Carrel,,,/wiki/Alexis_Carrel,,
113,1911,Allvar Gullstrand,,,/wiki/Allvar_Gullstrand,,
114,1910,Albrecht Kossel,,,/wiki/Albrecht_Kossel,,
115,1909,Emil Theodor Kocher,,,/wiki/Emil_Theodor_Kocher,,
116,1908,Élie Metchnikoff,Paul Ehrlich,,/wiki/%C3%89lie_Metchnikoff,/wiki/Paul_Ehrlich,
117,1907,Charles Louis Alphonse Laveran,,,/wiki/Charles_Louis_Alphonse_Laveran,,
118,1906,Camillo Golgi,Santiago Ramón y Cajal,,/wiki/Camillo_Golgi,/wiki/Santiago_Ram%C3%B3n_y_Cajal,
119,1905,Robert Koch,,,/wiki/Robert_Koch,,
120,1904,Ivan Pavlov,,,/wiki/Ivan_Pavlov,,
121,1903,Niels Ryberg Finsen,,,/wiki/Niels_Ryberg_Finsen,,
122,1902,Ronald Ross,,,/wiki/Ronald_Ross,,
123,1901,Emil von Behring,,,/wiki/Emil_von_Behring,,
