,YEAR,LAUREATE,NAME_ORDER,URL,FIELD,place of birth,born,place of death,age at death,died,other awards,nationality,alma mater
42,1907,Albert A. Michelson,1,/wiki/Albert_A._Michelson,Physics,Kingdom of Prussia,1852-12-19,U.S.,78,1931-05-09,10.0,,
43,1908,Ernest Rutherford,1,/wiki/Ernest_Rutherford,Chemistry,Colony of New Zealand,1871-08-30,England,66,1937-10-19,15.0,,
44,1908,Rudolf Christoph Eucken,1,/wiki/Rudolf_Christoph_Eucken,Literature,Kingdom of Hanover,1846-01-05,Germany,80,1926-09-14,0.0,,
45,1908,Élie Metchnikoff,1,/wiki/%C3%89lie_Metchnikoff,Medicine,Russian Empire,,France,71,1916-07-15,2.0,,
46,1908,Paul Ehrlich,2,/wiki/Paul_Ehrlich,Medicine,Poland,1854-03-14,German Empire,61,1915-08-21,1.0,,
47,1908,Klas Pontus Arnoldson,1,/wiki/Klas_Pontus_Arnoldson,Peace,Sweden,1844-10-27,Sweden,71,1916-02-20,0.0,,
48,1908,Fredrik Bajer,2,/wiki/Fredrik_Bajer,Peace,Denmark,1837-04-21,Denmark,84,1922-01-22,0.0,,
49,1908,Gabriel Lippmann,1,/wiki/Gabriel_Lippmann,Physics,German Confederation,1845-08-16,Atlantic Ocean,75,1921-07-12,1.0,,
50,1909,Wilhelm Ostwald,1,/wiki/Wilhelm_Ostwald,Chemistry,Governorate of Livonia Russian Empire,,Saxony Weimar Republic,78,1932-04-04,2.0,,
51,1909,Selma Lagerlöf,1,/wiki/Selma_Lagerl%C3%B6f,Literature,Sweden,1858-11-20,Mårbacka Sweden,81,1940-03-16,0.0,,
52,1909,Emil Theodor Kocher,1,/wiki/Emil_Theodor_Kocher,Medicine,Switzerland,1841-08-25,(aged 75),75,1917-07-27,0.0,,
53,1909,Auguste Beernaert,1,/wiki/Auguste_Beernaert,Peace,Belgium,1829-07-26,Switzerland,83,1912-10-06,,,
