,Year,Physics,Chemistry,Physiology/Medicine,Literature,Peace,Economic Sciences
26,1998,Robert B. Laughlin;Horst Ludwig Störmer;Daniel C. Tsui,Walter Kohn;John Pople,Robert F. Furchgott;Louis Ignarro;Ferid Murad,José Saramago,John Hume;David Trimble,Amartya Sen
27,1997,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,Paul D. Boyer;John E. Walker;Jens Christian Skou,Stanley B. Prusiner,Dario Fo,International Campaign to Ban Landmines;Jody Williams,Robert C. Merton;Myron Scholes
28,1996,David Lee;Douglas Osheroff;Robert Coleman Richardson,Robert Curl;Harry Kroto;Richard Smalley,Peter C. Doherty;Rolf M. Zinkernagel,Wisława Szymborska,Carlos Filipe Ximenes Belo;José Ramos-Horta,James Mirrlees;William Vickrey
29,1995,Martin Lewis Perl;Frederick Reines,Paul J. Crutzen;Mario J. Molina;F. Sherwood Rowland,Edward B. Lewis;Christiane Nüsslein-Volhard;Eric F. Wieschaus,Seamus Heaney,Joseph Rotblat;Pugwash Conferences on Science and World Affairs,Robert Lucas Jr.
30,1994,Bertram Brockhouse;Clifford Shull,George Andrew Olah,Alfred G. Gilman;Martin Rodbell,Kenzaburō Ōe,Yasser Arafat;Shimon Peres;Yitzhak Rabin,John Harsanyi;John Forbes Nash Jr.;Reinhard Selten
31,1993,Russell Alan Hulse;Joseph Hooton Taylor Jr.,Kary Mullis;Michael Smith,Richard J. Roberts;Phillip Allen Sharp,Toni Morrison,Nelson Mandela;F. W. de Klerk,Robert Fogel;Douglass North
32,1992,Georges Charpak,Rudolph A. Marcus,Edmond H. Fischer;Edwin G. Krebs,Derek Walcott,Rigoberta Menchú,Gary Becker
33,1991,Pierre-Gilles de Gennes,Richard R. Ernst,Erwin Neher;Bert Sakmann,Nadine Gordimer,Aung San Suu Kyi,Ronald Coase
34,1990,Jerome Isaac Friedman;Henry Way Kendall;Richard E. Taylor,Elias James Corey,Joseph Murray;E. Donnall Thomas,Octavio Paz,Mikhail Gorbachev,Harry Markowitz;Merton Miller;William F. Sharpe
35,1989,Norman Ramsey Jr.;Hans Georg Dehmelt;Wolfgang Paul,Sidney Altman;Thomas Cech,J. Michael Bishop;Harold E. Varmus,Camilo José Cela,Tenzin Gyatso (The 14th Dalai Lama),Trygve Haavelmo
36,1988,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Johann Deisenhofer;Robert Huber;Hartmut Michel,James W. Black;Gertrude B. Elion;George H. Hitchings,Naguib Mahfouz,United Nations peacekeeping forces,Maurice Allais
37,1987,Georg Bednorz;K. Alex Müller,Donald J. Cram;Jean-Marie Lehn;Charles J. Pedersen,Susumu Tonegawa,Joseph Brodsky,Óscar Arias,Robert Solow
38,1986,Ernst Ruska;Gerd Binnig;Heinrich Rohrer,Dudley R. Herschbach;Yuan T. Lee;John Polanyi,Stanley Cohen;Rita Levi-Montalcini,Wole Soyinka,Elie Wiesel,James M. Buchanan
39,1985,Klaus von Klitzing,Herbert A. Hauptman;Jerome Karle,Michael Stuart Brown;Joseph L. Goldstein,Claude Simon,International Physicians for the Prevention of Nuclear War,Franco Modigliani
